,Entity,Code,Year,Hydro (TWh growth – sub method),color
137,Argentina,ARG,1995,1.348,D
138,Argentina,ARG,1996,-6.98,F
139,Argentina,ARG,1997,19.68,B
140,Argentina,ARG,1998,-1.689,E
141,Argentina,ARG,1999,-16.366,G
142,Argentina,ARG,2000,20.844,B
143,Argentina,ARG,2001,21.103,B
144,Argentina,ARG,2002,-1.942,E
145,Argentina,ARG,2003,-7.232,F
146,Argentina,ARG,2004,-10.632,G
147,Argentina,ARG,2005,10.011000000000001,B
148,Argentina,ARG,2006,10.758,B
149,Argentina,ARG,2007,-16.355999999999998,G
150,Argentina,ARG,2008,-2.053,E
151,Argentina,ARG,2009,8.796,C
152,Argentina,ARG,2010,-1.2819999999999998,E
153,Argentina,ARG,2011,-2.9819999999999998,E
154,Argentina,ARG,2012,-7.745,F
155,Argentina,ARG,2013,9.218,C
156,Argentina,ARG,2014,-0.207,E
157,Argentina,ARG,2015,1.675,D
158,Argentina,ARG,2016,-9.469,F
159,Argentina,ARG,2017,7.656000000000001,C
160,Argentina,ARG,2018,-0.34700000000000003,E
161,Argentina,ARG,2019,-11.725,G
162,Australia,AUS,1966,-0.958,E
163,Australia,AUS,1967,0.7240000000000001,D
164,Australia,AUS,1968,0.958,D
165,Australia,AUS,1969,2.0380000000000003,D
166,Australia,AUS,1970,4.129,D
167,Australia,AUS,1971,3.713,D
168,Australia,AUS,1972,0.127,D
169,Australia,AUS,1973,2.035,D
170,Australia,AUS,1974,4.4110000000000005,D
171,Australia,AUS,1975,2.8160000000000003,D
172,Australia,AUS,1976,-2.039,E
173,Australia,AUS,1977,-1.694,E
174,Australia,AUS,1978,3.1430000000000002,D
175,Australia,AUS,1979,-1.192,E
176,Australia,AUS,1980,-2.165,E
177,Australia,AUS,1981,1.11,D
178,Australia,AUS,1982,-3.0439999999999996,E
179,Australia,AUS,1983,-1.796,E
180,Australia,AUS,1984,2.784,D
181,Australia,AUS,1985,2.263,D
182,Australia,AUS,1986,0.237,D
183,Australia,AUS,1987,-1.1440000000000001,E
184,Australia,AUS,1988,2.002,D
185,Australia,AUS,1989,-0.22399999999999998,E
186,Australia,AUS,1990,1.405,D
187,Australia,AUS,1991,2.483,D
188,Australia,AUS,1992,0.8,D
189,Australia,AUS,1993,1.238,D
190,Australia,AUS,1994,-0.6579999999999999,E
191,Australia,AUS,1995,-1.442,E
192,Australia,AUS,1996,0.938,D
193,Australia,AUS,1997,-0.044000000000000004,E
194,Australia,AUS,1998,-0.429,E
195,Australia,AUS,1999,1.3430000000000002,D
196,Australia,AUS,2000,0.514,D
197,Australia,AUS,2001,-1.244,E
198,Australia,AUS,2002,-0.365,E
199,Australia,AUS,2003,0.032,D
200,Australia,AUS,2004,-1.699,E
201,Australia,AUS,2005,-0.863,E
202,Australia,AUS,2006,-1.653,E
203,Australia,AUS,2007,-5.2860000000000005,F
204,Australia,AUS,2008,-3.472,E
205,Australia,AUS,2009,1.9769999999999999,D
206,Australia,AUS,2010,2.675,D
207,Australia,AUS,2011,14.879000000000001,B
208,Australia,AUS,2012,-6.84,F
209,Australia,AUS,2013,4.992,D
210,Australia,AUS,2014,-12.012,G
211,Australia,AUS,2015,-1.228,E
212,Australia,AUS,2016,8.705,C
213,Australia,AUS,2017,-10.582,G
214,Australia,AUS,2018,9.38,C
215,Australia,AUS,2019,-7.7410000000000005,F
216,Austria,AUT,1966,3.467,D
217,Austria,AUT,1967,1.0190000000000001,D
218,Austria,AUT,1968,1.3530000000000002,D
219,Austria,AUT,1969,-4.075,E
220,Austria,AUT,1970,12.699000000000002,B
221,Austria,AUT,1971,-12.415999999999999,G
222,Austria,AUT,1972,1.2990000000000002,D
223,Austria,AUT,1973,5.337999999999999,C
224,Austria,AUT,1974,9.731,C
225,Austria,AUT,1975,3.008,D
226,Austria,AUT,1976,-8.971,F
227,Austria,AUT,1977,12.097999999999999,B
228,Austria,AUT,1978,0.055999999999999994,D
229,Austria,AUT,1979,8.767000000000001,C
230,Austria,AUT,1980,2.8139999999999996,D
231,Austria,AUT,1981,4.8260000000000005,D
232,Austria,AUT,1982,0.136,D
233,Austria,AUT,1983,-0.8059999999999999,E
234,Austria,AUT,1984,-10.435,G
235,Austria,AUT,1985,10.904000000000002,B
236,Austria,AUT,1986,0.358,D
237,Austria,AUT,1987,12.456,B
238,Austria,AUT,1988,-0.233,E
239,Austria,AUT,1989,-0.616,E
240,Austria,AUT,1990,-9.926,F
241,Austria,AUT,1991,-0.182,E
242,Austria,AUT,1992,9.458,C
243,Austria,AUT,1993,5.159,C
244,Austria,AUT,1994,-2.772,E
245,Austria,AUT,1995,3.7769999999999997,D
246,Austria,AUT,1996,-7.92,F
247,Austria,AUT,1997,5.247999999999999,C
248,Austria,AUT,1998,2.9389999999999996,D
249,Austria,AUT,1999,9.822000000000001,C
250,Austria,AUT,2000,3.157,D
251,Austria,AUT,2001,-4.564,E
252,Austria,AUT,2002,-1.347,E
253,Austria,AUT,2003,-19.81,G
254,Austria,AUT,2004,9.026,C
255,Austria,AUT,2005,0.265,D
256,Austria,AUT,2006,-4.474,E
257,Austria,AUT,2007,3.1189999999999998,D
258,Austria,AUT,2008,2.7539999999999996,D
259,Austria,AUT,2009,6.109,C
260,Austria,AUT,2010,-7.2620000000000005,F
261,Austria,AUT,2011,-11.298,G
262,Austria,AUT,2012,24.099,B
263,Austria,AUT,2013,-5.18,F
264,Austria,AUT,2014,-3.282,E
265,Austria,AUT,2015,-10.626,G
266,Austria,AUT,2016,6.46,C
267,Austria,AUT,2017,-4.468,E
